Rainbow,Rent a center ,Cricket ,Total wireless,Metro PCs ,BOOST 
"159-34 Jamaica Ave, Jamaica, NY 11432, United States","16805 Jamaica Ave, Jamaica, NY 11432, United States",  ,"170-10 Jamaica AveJamaica, NY 11432","162-01 Jamaica Ave, Jamaica, NY 11432","165-01 Jamaica Ave, D, Jamaica, NY 11432"
,,,"183-02 Hillside AveJamaica, NY 11432","16506 Jamaica Ave, Jamaica, NY 11432","160-05 Jamaica Avenue, Jamaica, NY 11432"
,,,"15335 Hillside AveJamaica, NY 11432","8786 Parsons Blvd, Jamaica, NY 11432","17943 Hillside Avenue, Jamaica NY 11432"
,,,"16224 Jamaica AveJamaica, NY 11432","17011 Jamaica Ave, Jamaica, NY 11432",
,,,,,
"134-54 Springfield Blvd, Queens, NY 11413, United States","23101 Merrick Blvd, Laurelton, NY 11413, United States",  ,,"21619 Merrick Blvd, Laurelton, NY 11413",
,,,,"21925 N Conduit Ave, Springfield Gardens, NY 11413",
,,,,,
"165-25 Jamaica Ave, Jamaica, NY 11432, United States",,,,,
"90-15 Queens Blvd, Elmhurst, NY 11373, United States",,,,,
"3738 Junction Blvd, Corona, NY 11368, United States",,,,,
"165-32 Baisley Blvd, Jamaica, NY 11434, United States",,,,,
"88-03 Rockaway Beach Blvd, Rockaway Beach, NY 11693, United States",,,,,
"85-10 Jamaica Ave, Woodhaven, NY 11421, United States",,,,,
,,,,,
"56-16 Myrtle Ave, Ridgewood, NY 11385, United States","5652 Myrtle Ave, Ridgewood, NY 11385, United States",  ,"67-18 Fresh Pond RdRidgewood, NY 11385",,
,,,"55-17 Myrtle AveRidgewood, NY 11385",,
,,,,,
,,,,,
"88-03 Rockaway Beach Blvd, Rockaway Beach, NY 11693, United States",,,,,
"365 Rockaway Turnpike, Lawrence, NY 11559, United States",,,,,
,"31-39 Steinway St Ste Inway St, Queens, NY 11103, United States",  ,,,
,"11211 Liberty Ave, South Richmond Hill, NY 11419, United States",  ,,,
,"1045 Beach 20th St, Far Rockaway, NY 11691, United States",  ,,,
,,,,,
,,,,,
"380 5th Ave, New York, NY 10018, United States",,,,,
"603 8th Ave, New York, NY 10018, United States",,,,,
"1958 3rd Ave, New York, NY 10029, United States",,,,,
"308 W 125th St, New York, NY 10027, United States",,,,,
